userName;score;content;Layanan;Fitur;Kebermanfaatan;Bisnis;Non Aspek;jumlah_aspek_disebut;casefolded;cleaned;tokens;filtered;normalized;stemmed;final_text
Kusyati Nisa;5;Mantaf skali mudah juga buat ikut pelatihan prakerja sangat mudah skali 👍sungguh bermanfaat bagi kami;0;0;1;0;0;1;mantaf skali mudah juga buat ikut pelatihan prakerja sangat mudah skali 👍sungguh bermanfaat bagi kami;mantaf skali mudah juga buat ikut pelatihan prakerja sangat mudah skali sungguh bermanfaat bagi kami;['mantaf', 'skali', 'mudah', 'juga', 'buat', 'ikut', 'pelatihan', 'prakerja', 'sangat', 'mudah', 'skali', 'sungguh', 'bermanfaat', 'bagi', 'kami'];['mantaf', 'skali', 'mudah', 'pelatihan', 'prakerja', 'mudah', 'skali', 'sungguh', 'bermanfaat'];['mantap', 'sekali', 'mudah', 'pelatihan', 'prakerja', 'mudah', 'sekali', 'sungguh', 'bermanfaat'];['mantap', 'sekali', 'mudah', 'latih', 'prakerja', 'mudah', 'sekali', 'sungguh', 'manfaat'];mantap sekali mudah latih prakerja mudah sekali sungguh manfaat
Nurul Latifah;5;keren buat beli kartu prakerjaa;0;0;0;0;1;1;keren buat beli kartu prakerjaa;keren buat beli kartu prakerjaa;['keren', 'buat', 'beli', 'kartu', 'prakerjaa'];['keren', 'beli', 'kartu', 'prakerjaa'];['keren', 'beli', 'kartu', 'prakerja'];['keren', 'beli', 'kartu', 'prakerja'];keren beli kartu prakerja
Lukman Hadi;1;Lapak saya dibekukan, sudah komplain tidak ada tanggapan, tiba tiba ditutup oleh sistem, gajelas;-1;0;0;0;0;1;lapak saya dibekukan, sudah komplain tidak ada tanggapan, tiba tiba ditutup oleh sistem, gajelas;lapak saya dibekukan sudah komplain tidak ada tanggapan tiba tiba ditutup oleh sistem gajelas;['lapak', 'saya', 'dibekukan', 'sudah', 'komplain', 'tidak', 'ada', 'tanggapan', 'tiba', 'tiba', 'ditutup', 'oleh', 'sistem', 'gajelas'];['lapak', 'dibekukan', 'komplain', 'tanggapan', 'ditutup', 'sistem', 'gajelas'];['lapak', 'dibekukan', 'komplain', 'tanggapan', 'ditutup', 'sistem', 'gajelas'];['lapak', 'beku', 'komplain', 'tanggap', 'tutup', 'sistem', 'gajelas'];lapak beku komplain tanggap tutup sistem gajelas
Felisona Hulu;1;Benar2 mengecewakan.Respon sangat lama.pokok nya tidak d rekomended;-1;0;0;0;0;1;benar2 mengecewakan.respon sangat lama.pokok nya tidak d rekomended;benar mengecewakan respon sangat lama pokok nya tidak d rekomended;['benar', 'mengecewakan', 'respon', 'sangat', 'lama', 'pokok', 'nya', 'tidak', 'd', 'rekomended'];['mengecewakan', 'respon', 'pokok', 'nya', 'd', 'rekomended'];['mengecewakan', 'respon', 'pokok', 'nya', 'd', 'rekomended'];['kecewa', 'respon', 'pokok', 'nya', 'd', 'rekomended'];kecewa respon pokok nya d rekomended
Don faizal;5;Ini adalah salah satu tempat terbaik untuk belanja online ,apabila ada masalah antara penjual dan pembeli ,bukalapak cukup proactive sebagai pengambil solusi terbaik;1;0;0;0;0;1;ini adalah salah satu tempat terbaik untuk belanja online ,apabila ada masalah antara penjual dan pembeli ,bukalapak cukup proactive sebagai pengambil solusi terbaik;ini adalah salah satu tempat terbaik untuk belanja online apabila ada masalah antara penjual dan pembeli bukalapak cukup proactive sebagai pengambil solusi terbaik;['ini', 'adalah', 'salah', 'satu', 'tempat', 'terbaik', 'untuk', 'belanja', 'online', 'apabila', 'ada', 'masalah', 'antara', 'penjual', 'dan', 'pembeli', 'bukalapak', 'cukup', 'proactive', 'sebagai', 'pengambil', 'solusi', 'terbaik'];['salah', 'terbaik', 'belanja', 'online', 'penjual', 'pembeli', 'bukalapak', 'proactive', 'pengambil', 'solusi', 'terbaik'];['salah', 'terbaik', 'belanja', 'online', 'penjual', 'pembeli', 'bukalapak', 'proactive', 'pengambil', 'solusi', 'terbaik'];['salah', 'baik', 'belanja', 'online', 'jual', 'beli', 'bukalapak', 'proactive', 'ambil', 'solusi', 'baik'];salah baik belanja online jual beli bukalapak proactive ambil solusi baik
Tiara Dwi Mardiansyah;5;Sangat membantu untuk berbelanja dengan dagangan yang variatif;0;0;1;0;0;1;sangat membantu untuk berbelanja dengan dagangan yang variatif;sangat membantu untuk berbelanja dengan dagangan yang variatif;['sangat', 'membantu', 'untuk', 'berbelanja', 'dengan', 'dagangan', 'yang', 'variatif'];['membantu', 'berbelanja', 'dagangan', 'variatif'];['membantu', 'berbelanja', 'dagangan', 'variatif'];['bantu', 'belanja', 'dagang', 'variatif'];bantu belanja dagang variatif
Pengguna Google;1;Kenapa appk BUKA LAPAK sekarang susah,,, Saya sudah melakukan pembayaran tp belum terverifikasi,barang pesanan jd kadarluarsa,,, Mohon kembalikan saldo saya,buka applikasi bantuan nya mutar mutar,saya jd bingung,,,;-1;-1;0;0;-1;3;kenapa appk buka lapak sekarang susah,,, saya sudah melakukan pembayaran tp belum terverifikasi,barang pesanan jd kadarluarsa,,, mohon kembalikan saldo saya,buka applikasi bantuan nya mutar mutar,saya jd bingung,,,;kenapa appk buka lapak sekarang susah saya sudah melakukan pembayaran tp belum terverifikasi barang pesanan jd kadarluarsa mohon kembalikan saldo saya buka applikasi bantuan nya mutar mutar saya jd bingung;['kenapa', 'appk', 'buka', 'lapak', 'sekarang', 'susah', 'saya', 'sudah', 'melakukan', 'pembayaran', 'tp', 'belum', 'terverifikasi', 'barang', 'pesanan', 'jd', 'kadarluarsa', 'mohon', 'kembalikan', 'saldo', 'saya', 'buka', 'applikasi', 'bantuan', 'nya', 'mutar', 'mutar', 'saya', 'jd', 'bingung'];['appk', 'buka', 'lapak', 'susah', 'pembayaran', 'tp', 'terverifikasi', 'barang', 'pesanan', 'jd', 'kadarluarsa', 'mohon', 'kembalikan', 'saldo', 'buka', 'applikasi', 'bantuan', 'nya', 'mutar', 'mutar', 'jd', 'bingung'];['aplikasi', 'buka', 'lapak', 'susah', 'pembayaran', 'tapi', 'terverifikasi', 'barang', 'pesanan', 'jadi', 'kadarluarsa', 'mohon', 'kembalikan', 'saldo', 'buka', 'applikasi', 'bantuan', 'nya', 'mutar', 'mutar', 'jadi', 'bingung'];['aplikasi', 'buka', 'lapak', 'susah', 'bayar', 'tapi', 'verifikasi', 'barang', 'pesan', 'jadi', 'kadarluarsa', 'mohon', 'kembali', 'saldo', 'buka', 'applikasi', 'bantu', 'nya', 'mutar', 'mutar', 'jadi', 'bingung'];aplikasi buka lapak susah bayar tapi verifikasi barang pesan jadi kadarluarsa mohon kembali saldo buka applikasi bantu nya mutar mutar jadi bingung
Kulon Tea;1;Aplikasi apaan ini, pembayaran sudah dilakukan melalui mbaking BCA, tapi status pembayaran angsuran msh proses aja dari tgl 31 Mei 2022 sampai skrng. Tutup aja aplikasinya.;0;-1;0;0;-1;2;aplikasi apaan ini, pembayaran sudah dilakukan melalui mbaking bca, tapi status pembayaran angsuran msh proses aja dari tgl 31 mei 2022 sampai skrng. tutup aja aplikasinya.;aplikasi apaan ini pembayaran sudah dilakukan melalui mbaking bca tapi status pembayaran angsuran msh proses aja dari tgl mei sampai skrng tutup aja aplikasinya;['aplikasi', 'apaan', 'ini', 'pembayaran', 'sudah', 'dilakukan', 'melalui', 'mbaking', 'bca', 'tapi', 'status', 'pembayaran', 'angsuran', 'msh', 'proses', 'aja', 'dari', 'tgl', 'mei', 'sampai', 'skrng', 'tutup', 'aja', 'aplikasinya'];['aplikasi', 'pembayaran', 'mbaking', 'bca', 'status', 'pembayaran', 'angsuran', 'msh', 'proses', 'aja', 'tgl', 'mei', 'skrng', 'tutup', 'aja', 'aplikasinya'];['aplikasi', 'pembayaran', 'mbaking', 'bca', 'status', 'pembayaran', 'angsuran', 'msh', 'proses', 'saja', 'tgl', 'mei', 'skrng', 'tutup', 'saja', 'aplikasinya'];['aplikasi', 'bayar', 'mbaking', 'bca', 'status', 'bayar', 'angsur', 'msh', 'proses', 'saja', 'tgl', 'mei', 'skrng', 'tutup', 'saja', 'aplikasi'];aplikasi bayar mbaking bca status bayar angsur msh proses saja tgl mei skrng tutup saja aplikasi
badru kowi;1;Limit paylater nay ko gk naik naik padahl udh dari dulu jarang telat bayar ,,tolong tingatkan kya shopee smakin bagus riwayat semakin naik paylater nya.;-1;-1;0;0;0;2;limit paylater nay ko gk naik naik padahl udh dari dulu jarang telat bayar ,,tolong tingatkan kya shopee smakin bagus riwayat semakin naik paylater nya.;limit paylater nay ko gk naik naik padahl udh dari dulu jarang telat bayar tolong tingatkan kya shopee smakin bagus riwayat semakin naik paylater nya;['limit', 'paylater', 'nay', 'ko', 'gk', 'naik', 'naik', 'padahl', 'udh', 'dari', 'dulu', 'jarang', 'telat', 'bayar', 'tolong', 'tingatkan', 'kya', 'shopee', 'smakin', 'bagus', 'riwayat', 'semakin', 'naik', 'paylater', 'nya'];['limit', 'paylater', 'nay', 'ko', 'gk', 'padahl', 'udh', 'jarang', 'telat', 'bayar', 'tolong', 'tingatkan', 'kya', 'shopee', 'smakin', 'bagus', 'riwayat', 'paylater', 'nya'];['limit', 'paylater', 'nay', 'ko', 'tidak', 'padahal', 'sudah', 'jarang', 'telat', 'bayar', 'tolong', 'tingatkan', 'kya', 'shopee', 'smakin', 'bagus', 'riwayat', 'paylater', 'nya'];['limit', 'paylater', 'nay', 'ko', 'tidak', 'padahal', 'sudah', 'jarang', 'telat', 'bayar', 'tolong', 'tingatkan', 'kya', 'shopee', 'smakin', 'bagus', 'riwayat', 'paylater', 'nya'];limit paylater nay ko tidak padahal sudah jarang telat bayar tolong tingatkan kya shopee smakin bagus riwayat paylater nya
Agung Wiratmoko;2;Bintang 2 dulu, sampe sekarang belum bisa verifikasi email;0;-1;0;0;0;1;bintang 2 dulu, sampe sekarang belum bisa verifikasi email;bintang dulu sampe sekarang belum bisa verifikasi email;['bintang', 'dulu', 'sampe', 'sekarang', 'belum', 'bisa', 'verifikasi', 'email'];['bintang', 'sampe', 'verifikasi', 'email'];['bintang', 'sampai', 'verifikasi', 'email'];['bintang', 'sampai', 'verifikasi', 'email'];bintang sampai verifikasi email
