,Accuracy,Precision,Recall,F1,MAE,RMSE,R2
Fold 1,0.6416666666666667,0.7055276447352642,0.6416666666666667,0.6539125304482617,0.3875,0.6677075208003377,-0.16494284157686478
Fold 2,0.6958333333333333,0.7264013234450774,0.6958333333333333,0.7052119009137281,0.325,0.6055300708194983,-0.08647564173770483
Fold 3,0.7083333333333334,0.7735294117647059,0.7083333333333334,0.7212975098296199,0.31666666666666665,0.6055300708194983,-0.1002292144059147
Fold 4,0.7,0.7427439024390243,0.7,0.7097892779342223,0.3375,0.6422616289332564,-0.12585291886513428
Fold 5,0.7166666666666667,0.7497908566042182,0.7166666666666667,0.7236596102803133,0.30416666666666664,0.5880759588125783,0.0976626200496723
Fold 6,0.7083333333333334,0.7636533092329293,0.7083333333333334,0.7244470020653665,0.32083333333333336,0.6157651067303722,-0.09112709830825971
Fold 7,0.725,0.7770656937017232,0.725,0.738658367329064,0.3,0.5916079783099616,-0.11726889823386477
Fold 8,0.7166666666666667,0.7557593846925744,0.7166666666666667,0.7264724310776942,0.31666666666666665,0.6191391873668903,-0.07309486779463725
Fold 9,0.6791666666666667,0.7471772093413979,0.6791666666666667,0.697849058927204,0.3541666666666667,0.6487166818676188,-0.3237944404828945
Fold 10,0.725,0.8019284437525226,0.725,0.740598491816682,0.30416666666666664,0.6020797289396148,-0.1823329558163218
