,Accuracy,Precision,Recall,F1,MAE,RMSE,R2
Fold 1,0.7583333333333333,0.7633809523809524,0.7583333333333333,0.760011574074074,0.24166666666666667,0.4915960401250875,-0.022326674482567643
Fold 2,0.7708333333333334,0.7701562499999999,0.7708333333333334,0.770480831013065,0.22916666666666666,0.47871355387816905,-0.0249242953454476
Fold 3,0.7708333333333334,0.776650890241154,0.7708333333333334,0.7730736609847397,0.22916666666666666,0.47871355387816905,-0.03124999998066391
Fold 4,0.75,0.7456473567584678,0.75,0.7464507712378176,0.25,0.5,-0.0765550239041286
Fold 5,0.7583333333333333,0.7566188197767144,0.7583333333333333,0.7572592592592592,0.24166666666666667,0.4915960401250875,-0.022326674482567643
Fold 6,0.8125,0.8104607280446576,0.8125,0.8111029397534399,0.1875,0.4330127018922193,0.17582417583927057
Fold 7,0.7958333333333333,0.7981615430982518,0.7958333333333333,0.7968668320926385,0.20416666666666666,0.45184805705753195,0.056482670108026656
Fold 8,0.775,0.775,0.775,0.775,0.225,0.4743416490252569,0.021443672624195775
Fold 9,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.26666666666666666,0.5163977794943222,-0.22380686795524563
Fold 10,0.7916666666666666,0.8085555555555556,0.7916666666666666,0.7965550066893073,0.20833333333333334,0.45643546458763845,0.02311950506630156
