,Accuracy,Precision,Recall,F1,MAE,RMSE,R2
Fold 1,0.7541666666666667,0.7500525210084034,0.7541666666666667,0.751762738033968,0.24583333333333332,0.4958158260214505,-0.14424242422023292
Fold 2,0.7375,0.7408152881797461,0.7375,0.739040144107051,0.2625,0.51234753829798,-0.260105008725525
Fold 3,0.7625,0.768157973063472,0.7625,0.7646709816612728,0.2375,0.48733971724044817,-0.055881444870839125
Fold 4,0.8041666666666667,0.8147394227296719,0.8041666666666667,0.8082529811560601,0.19583333333333333,0.4425306015783918,-0.022109459927029285
Fold 5,0.7916666666666666,0.8030327342747111,0.7916666666666666,0.7959204933744479,0.20833333333333334,0.45643546458763845,-0.04493207939300037
Fold 6,0.7791666666666667,0.8067459130781499,0.7791666666666667,0.7869917287014061,0.22083333333333333,0.4699290726623895,-0.09740315759957063
Fold 7,0.7291666666666666,0.7419681013431013,0.7291666666666666,0.734042745492431,0.2708333333333333,0.5204164998665332,-0.2796325157651456
Fold 8,0.7375,0.7409970238095238,0.7375,0.7391310487667105,0.2625,0.51234753829798,-0.2814645308663828
Fold 9,0.725,0.7312287743130597,0.725,0.7276594071860994,0.275,0.5244044240850758,-0.27086007699735193
Fold 10,0.7791666666666667,0.7951788327504526,0.7791666666666667,0.7841029462045118,0.22083333333333333,0.4699290726623895,-0.035493324629720435
