,Accuracy,Precision,Recall,F1,MAE,RMSE,R2
Fold 1,0.9,0.8954200505924643,0.9,0.8961269763451403,0.1,0.31622776601683794,0.3435897436076967
Fold 2,0.9125,0.9146191646191647,0.9125,0.9133747588384155,0.0875,0.2958039891549808,0.48445171850692825
Fold 3,0.875,0.8773646723646724,0.875,0.8761015769944341,0.125,0.3535533905932738,0.15004131746003857
Fold 4,0.85,0.854863283220664,0.85,0.8521475256769375,0.15,0.3872983346207417,0.07682444707998326
Fold 5,0.8916666666666667,0.8933783415166393,0.8916666666666667,0.892442162050005,0.10833333333333334,0.32914029430219166,0.3431578947534357
Fold 6,0.9458333333333333,0.9457720588235293,0.9458333333333333,0.9434349763297132,0.05416666666666667,0.2327373340628157,0.644444444454169
Fold 7,0.8916666666666667,0.9024391154937995,0.8916666666666667,0.8957311207311207,0.10833333333333334,0.32914029430219166,0.18707660242249902
Fold 8,0.9,0.9,0.9,0.9,0.1,0.31622776601683794,0.4780717651436447
Fold 9,0.9166666666666666,0.9181052631578946,0.9166666666666666,0.9172988567154609,0.08333333333333333,0.28867513459481287,0.4791666666802301
Fold 10,0.8958333333333334,0.902586041606749,0.8958333333333334,0.8982632189955985,0.10416666666666667,0.3227486121839514,0.36842105264753444
