,Accuracy,Precision,Recall,F1,MAE,RMSE,R2
Fold 1,0.8083333333333333,0.8128551136363636,0.8083333333333333,0.8103479521565785,0.19166666666666668,0.43779751788545657,-0.022222222199506314
Fold 2,0.8375,0.8365110565110565,0.8375,0.8369882077199151,0.1625,0.4031128874149275,0.09161490685345619
Fold 3,0.7916666666666666,0.7976190476190477,0.7916666666666666,0.7944046196734368,0.20833333333333334,0.45643546458763845,-0.2274959083168373
Fold 4,0.8166666666666667,0.8226588326805012,0.8166666666666667,0.8191119471044231,0.18333333333333332,0.4281744192888376,0.07164835166793893
Fold 5,0.775,0.7913153145763268,0.775,0.7811728927616254,0.225,0.4743416490252569,-0.18692187926688697
Fold 6,0.7875,0.7917817083692839,0.7875,0.7895078004834103,0.2125,0.4609772228646444,-0.2186379928024218
Fold 7,0.8208333333333333,0.8141891891891893,0.8208333333333333,0.8154342871613066,0.17916666666666667,0.4232808366400098,0.10135841172201976
Fold 8,0.8125,0.8411754261363635,0.8125,0.8225390024170511,0.1875,0.4330127018922193,-0.19060743024079518
Fold 9,0.8041666666666667,0.8094584286803966,0.8041666666666667,0.8064368413829963,0.19583333333333333,0.4425306015783918,-0.0014204545241172095
Fold 10,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.16666666666666666,0.408248290463863,0.11111111113086414
