,Accuracy,Precision,Recall,F1,MAE,RMSE,R2
Fold 1,0.7083333333333334,0.7161515151515151,0.7083333333333334,0.7118055555555555,0.2916666666666667,0.5400617248673217,-0.42384947874042544
Fold 2,0.7375,0.7518854859132637,0.7375,0.7431471950591868,0.2625,0.51234753829798,-0.30446035714665953
Fold 3,0.6958333333333333,0.7084389026106818,0.6958333333333333,0.7011871676102248,0.30416666666666664,0.5515130702591432,-0.4979480163851311
Fold 4,0.6583333333333333,0.6642584693626445,0.6583333333333333,0.6611238436536379,0.3416666666666667,0.5845225972250061,-0.6679379608102125
Fold 5,0.7083333333333334,0.7114944847995696,0.7083333333333334,0.7098661954814546,0.2916666666666667,0.5400617248673217,-0.5386024360867052
Fold 6,0.6833333333333333,0.7154328241284763,0.6833333333333333,0.6938815125397935,0.31666666666666665,0.5627314338711378,-0.5327731092127843
Fold 7,0.7166666666666667,0.7451754385964912,0.7166666666666667,0.7260842038619816,0.2833333333333333,0.5322906474223771,-0.39534883718067015
Fold 8,0.7083333333333334,0.7226412066752246,0.7083333333333334,0.7142886907242271,0.2916666666666667,0.5400617248673217,-0.4629049111502004
Fold 9,0.6833333333333333,0.70484375,0.6833333333333333,0.6918792551882537,0.31666666666666665,0.5627314338711378,-0.5882967606773604
Fold 10,0.6916666666666667,0.6916666666666667,0.6916666666666667,0.6916666666666667,0.30833333333333335,0.5552777082985894,-0.4457831325018735
