,Accuracy,Precision,Recall,F1,MAE,RMSE,R2
Fold 1,0.8333333333333334,0.8948636272141708,0.8333333333333334,0.8609412146919245,0.17916666666666667,0.45184805705753195,-0.2896150893398941
Fold 2,0.8666666666666667,0.9037830225330226,0.8666666666666667,0.8831430007900596,0.13333333333333333,0.3651483716701107,0.24528301888572457
Fold 3,0.8041666666666667,0.8806106138107417,0.8041666666666667,0.8339902991169219,0.19583333333333333,0.4425306015783918,-0.24024189111625516
Fold 4,0.8166666666666667,0.8335048568230239,0.8166666666666667,0.8236883245634103,0.18333333333333332,0.4281744192888376,-0.016264074656539007
Fold 5,0.8333333333333334,0.890546625626995,0.8333333333333334,0.8586022334423032,0.16666666666666666,0.408248290463863,0.028733306377286882
Fold 6,0.8791666666666667,0.9351527858106806,0.8791666666666667,0.9035072951739618,0.12083333333333333,0.3476108935769035,0.24991917234400451
Fold 7,0.7958333333333333,0.8937729900157646,0.7958333333333333,0.839818970189702,0.20416666666666666,0.45184805705753195,-0.532047941588367
Fold 8,0.8583333333333333,0.8881117724867724,0.8583333333333333,0.8694444444444446,0.14166666666666666,0.3763863263545405,0.3408723748108392
Fold 9,0.8458333333333333,0.9081364048509577,0.8458333333333333,0.8747714565278166,0.15416666666666667,0.39264063297965823,0.05572096982418406
Fold 10,0.8166666666666667,0.90394285818874,0.8166666666666667,0.8481339516176295,0.1875,0.4425306015783918,-0.10199296597650642
