,Accuracy,Precision,Recall,F1,MAE,RMSE,R2
Fold 1,0.6625,0.7843760311771064,0.6625,0.6888291832005495,0.35,0.6123724356957945,-0.5206983947926667
Fold 2,0.7166666666666667,0.7835087305223506,0.7166666666666667,0.7367376082550211,0.29583333333333334,0.566421515598881,-0.37499999997544653
Fold 3,0.6291666666666667,0.7536311498065229,0.6291666666666667,0.6626508848001875,0.375,0.6191391873668903,-0.8163869693619665
Fold 4,0.7125,0.7893390054372101,0.7125,0.730699847973158,0.30416666666666664,0.5809475019311126,-0.25589508364226243
Fold 5,0.6541666666666667,0.7679396317829458,0.6541666666666667,0.6796688935813449,0.35833333333333334,0.6191391873668903,-0.5258102411466938
Fold 6,0.6958333333333333,0.7814814814814814,0.6958333333333333,0.7161949685534591,0.31666666666666665,0.5845225972250061,-0.5418364148879633
Fold 7,0.7,0.7639186507936507,0.7,0.7177869035646441,0.325,0.6123724356957945,-0.39211136888797915
Fold 8,0.675,0.8223406991804966,0.675,0.7169621212121213,0.35,0.6324555320336759,-1.1100833409189108
Fold 9,0.7166666666666667,0.806329954013378,0.7166666666666667,0.7363257963846198,0.3,0.5773502691896257,-0.25523012550331736
Fold 10,0.7041666666666667,0.8009222783884631,0.7041666666666667,0.7273135091375765,0.30833333333333335,0.5773502691896257,-0.34265734263480874
