,Accuracy,Precision,Recall,F1,MAE,RMSE,R2
Fold 1,0.5166666666666667,0.6861359728388,0.5166666666666667,0.542157113238377,0.5208333333333334,0.7719024117939607,-1.0755972179922506
Fold 2,0.55,0.7066143757232867,0.55,0.577067560685792,0.475,0.724568837309472,-0.883525381472934
Fold 3,0.49583333333333335,0.7181347640682288,0.49583333333333335,0.5233272048654051,0.5583333333333333,0.816496580927726,-1.3535180190877152
Fold 4,0.44583333333333336,0.6549688821371565,0.44583333333333336,0.4783020512196147,0.6125,0.8539125638299665,-1.5363850473694831
Fold 5,0.45416666666666666,0.707562558077791,0.45416666666666666,0.49124902874902876,0.5916666666666667,0.8266397845091497,-1.693123503205861
Fold 6,0.4875,0.6802860209587915,0.4875,0.5160674483183159,0.5583333333333333,0.806225774829855,-1.2291021671508102
Fold 7,0.5208333333333334,0.7368363513180587,0.5208333333333334,0.5427899801998435,0.5166666666666667,0.7691987172809551,-1.1068249257847649
Fold 8,0.49583333333333335,0.6787199178111326,0.49583333333333335,0.5335966688107249,0.5541666666666667,0.8088057039033952,-1.3811931243319333
Fold 9,0.49583333333333335,0.7499868329868331,0.49583333333333335,0.5204580225664562,0.5458333333333333,0.7932002689527196,-1.2901921132109675
Fold 10,0.5333333333333333,0.6906872370266479,0.5333333333333333,0.5561988136647266,0.5041666666666667,0.761030003788725,-0.8890147225111347
