lr,epochs,lambda_reg,avg_f1
0.01,50,0.001,0.5179711956094686
0.01,50,0.01,0.5179711956094686
0.01,50,0.1,0.5179711956094686
0.01,100,0.001,0.5425997586872437
0.01,100,0.01,0.5425997586872437
0.01,100,0.1,0.5425997586872437
0.01,150,0.001,0.56605211637933
0.01,150,0.01,0.56605211637933
0.01,150,0.1,0.56605211637933
0.01,200,0.001,0.5790170510052115
0.01,200,0.01,0.5790170510052115
0.01,200,0.1,0.5790170510052115
0.05,50,0.001,0.5971012269486324
0.05,50,0.01,0.5971012269486324
0.05,50,0.1,0.5971012269486324
0.05,100,0.001,0.6463950480191796
0.05,100,0.01,0.6463950480191796
0.05,100,0.1,0.6463950480191796
0.05,150,0.001,0.6667195446051506
0.05,150,0.01,0.6667195446051506
0.05,150,0.1,0.6667195446051506
0.05,200,0.001,0.6807157721781819
0.05,200,0.01,0.6807157721781819
0.05,200,0.1,0.6807157721781819
0.1,50,0.001,0.6460875015833145
0.1,50,0.01,0.6460875015833145
0.1,50,0.1,0.6460875015833145
0.1,100,0.001,0.6807157721781819
0.1,100,0.01,0.6807157721781819
0.1,100,0.1,0.6807157721781819
0.1,150,0.001,0.6957091293062515
0.1,150,0.01,0.6957091293062515
0.1,150,0.1,0.6957091293062515
0.1,200,0.001,0.7036505458737754
0.1,200,0.01,0.7036505458737754
0.1,200,0.1,0.7036505458737754
0.2,50,0.001,0.6807157721781819
0.2,50,0.01,0.6807157721781819
0.2,50,0.1,0.6807157721781819
0.2,100,0.001,0.7036505458737754
0.2,100,0.01,0.7036505458737754
0.2,100,0.1,0.7036505458737754
0.2,150,0.001,0.7095214224482712
0.2,150,0.01,0.7095214224482712
0.2,150,0.1,0.7095214224482712
0.2,200,0.001,0.7141896180622156
0.2,200,0.01,0.7141896180622156
0.2,200,0.1,0.7141896180622156
