lr,epochs,lambda_reg,avg_f1
0.01,50,0.001,0.7212922975983271
0.01,50,0.01,0.7212922975983271
0.01,50,0.1,0.7212922975983271
0.01,100,0.001,0.7337186356361685
0.01,100,0.01,0.7337186356361685
0.01,100,0.1,0.7337186356361685
0.01,150,0.001,0.74665988143905
0.01,150,0.01,0.74665988143905
0.01,150,0.1,0.74665988143905
0.01,200,0.001,0.7540916680627902
0.01,200,0.01,0.7540916680627902
0.01,200,0.1,0.7540916680627902
0.05,50,0.001,0.7613754591094761
0.05,50,0.01,0.7613754591094761
0.05,50,0.1,0.7613754591094761
0.05,100,0.001,0.7694319541244395
0.05,100,0.01,0.7694319541244395
0.05,100,0.1,0.7694319541244395
0.05,150,0.001,0.7694017414417058
0.05,150,0.01,0.7694017414417058
0.05,150,0.1,0.7694017414417058
0.05,200,0.001,0.7720134208437675
0.05,200,0.01,0.7720134208437675
0.05,200,0.1,0.7720134208437675
0.1,50,0.001,0.7694319541244395
0.1,50,0.01,0.7694319541244395
0.1,50,0.1,0.7694319541244395
0.1,100,0.001,0.7720134208437675
0.1,100,0.01,0.7720134208437675
0.1,100,0.1,0.7720134208437675
0.1,150,0.001,0.7703081636586113
0.1,150,0.01,0.7703081636586113
0.1,150,0.1,0.7703081636586113
0.1,200,0.001,0.7677372710653183
0.1,200,0.01,0.7677372710653183
0.1,200,0.1,0.7677372710653183
0.2,50,0.001,0.7720134208437675
0.2,50,0.01,0.7720134208437675
0.2,50,0.1,0.7720134208437675
0.2,100,0.001,0.7673666853332868
0.2,100,0.01,0.7673666853332868
0.2,100,0.1,0.7673666853332868
0.2,150,0.001,0.767610543903471
0.2,150,0.01,0.767610543903471
0.2,150,0.1,0.767610543903471
0.2,200,0.001,0.769198075552759
0.2,200,0.01,0.769198075552759
0.2,200,0.1,0.769198075552759
