lr,epochs,lambda_reg,avg_f1
0.01,50,0.001,0.6952034846820248
0.01,50,0.01,0.6952034846820248
0.01,50,0.1,0.6952034846820248
0.01,100,0.001,0.7080252733646077
0.01,100,0.01,0.7080252733646077
0.01,100,0.1,0.7080252733646077
0.01,150,0.001,0.7197111627358679
0.01,150,0.01,0.7197111627358679
0.01,150,0.1,0.7197111627358679
0.01,200,0.001,0.724621341030106
0.01,200,0.01,0.724621341030106
0.01,200,0.1,0.724621341030106
0.05,50,0.001,0.7295131365464128
0.05,50,0.01,0.7295131365464128
0.05,50,0.1,0.7295131365464128
0.05,100,0.001,0.7496410454099771
0.05,100,0.01,0.7496410454099771
0.05,100,0.1,0.7496410454099771
0.05,150,0.001,0.7490153158230154
0.05,150,0.01,0.7490153158230154
0.05,150,0.1,0.7490153158230154
0.05,200,0.001,0.7517654330317589
0.05,200,0.01,0.7517654330317589
0.05,200,0.1,0.7517654330317589
0.1,50,0.001,0.7496410454099771
0.1,50,0.01,0.7496410454099771
0.1,50,0.1,0.7496410454099771
0.1,100,0.001,0.7517654330317589
0.1,100,0.01,0.7517654330317589
0.1,100,0.1,0.7517654330317589
0.1,150,0.001,0.7570255110090314
0.1,150,0.01,0.7570255110090314
0.1,150,0.1,0.7570255110090314
0.1,200,0.001,0.7602263791820009
0.1,200,0.01,0.7602263791820009
0.1,200,0.1,0.7602263791820009
0.2,50,0.001,0.7513799318893148
0.2,50,0.01,0.7513799318893148
0.2,50,0.1,0.7513799318893148
0.2,100,0.001,0.7602263791820009
0.2,100,0.01,0.7602263791820009
0.2,100,0.1,0.7602263791820009
0.2,150,0.001,0.762319440187502
0.2,150,0.01,0.762319440187502
0.2,150,0.1,0.762319440187502
0.2,200,0.001,0.7631575214683959
0.2,200,0.01,0.7631575214683959
0.2,200,0.1,0.7631575214683959
