lr,epochs,lambda_reg,avg_f1
0.01,50,0.001,0.8038067367033934
0.01,50,0.01,0.8038067367033934
0.01,50,0.1,0.8038067367033934
0.01,100,0.001,0.8415287510139992
0.01,100,0.01,0.8415287510139992
0.01,100,0.1,0.8415287510139992
0.01,150,0.001,0.8579161487802598
0.01,150,0.01,0.8579161487802598
0.01,150,0.1,0.8579161487802598
0.01,200,0.001,0.8723461300111375
0.01,200,0.01,0.8723461300111375
0.01,200,0.1,0.8723461300111375
0.05,50,0.001,0.879265916174616
0.05,50,0.01,0.879265916174616
0.05,50,0.1,0.879265916174616
0.05,100,0.001,0.8975088905295987
0.05,100,0.01,0.8975088905295987
0.05,100,0.1,0.8975088905295987
0.05,150,0.001,0.8984921172676825
0.05,150,0.01,0.8984921172676825
0.05,150,0.1,0.8984921172676825
0.05,200,0.001,0.8970149022749336
0.05,200,0.01,0.8970149022749336
0.05,200,0.1,0.8970149022749336
0.1,50,0.001,0.8975088905295987
0.1,50,0.01,0.8975088905295987
0.1,50,0.1,0.8975088905295987
0.1,100,0.001,0.8970149022749336
0.1,100,0.01,0.8970149022749336
0.1,100,0.1,0.8970149022749336
0.1,150,0.001,0.8952584308558684
0.1,150,0.01,0.8952584308558684
0.1,150,0.1,0.8952584308558684
0.1,200,0.001,0.894783803843627
0.1,200,0.01,0.894783803843627
0.1,200,0.1,0.894783803843627
0.2,50,0.001,0.8970149022749336
0.2,50,0.01,0.8970149022749336
0.2,50,0.1,0.8970149022749336
0.2,100,0.001,0.894783803843627
0.2,100,0.01,0.894783803843627
0.2,100,0.1,0.894783803843627
0.2,150,0.001,0.8950793169530036
0.2,150,0.01,0.8950793169530036
0.2,150,0.1,0.8950793169530036
0.2,200,0.001,0.8954494397964625
0.2,200,0.01,0.8954494397964625
0.2,200,0.1,0.8954494397964625
