lr,epochs,lambda_reg,avg_f1
0.01,50,0.001,0.6907905369738494
0.01,50,0.01,0.6907905369738494
0.01,50,0.1,0.6907905369738494
0.01,100,0.001,0.7142148165703361
0.01,100,0.01,0.7142148165703361
0.01,100,0.1,0.7142148165703361
0.01,150,0.001,0.7290202184776811
0.01,150,0.01,0.7290202184776811
0.01,150,0.1,0.7290202184776811
0.01,200,0.001,0.748205155481385
0.01,200,0.01,0.748205155481385
0.01,200,0.1,0.748205155481385
0.05,50,0.001,0.7592505234539056
0.05,50,0.01,0.7592505234539056
0.05,50,0.1,0.7592505234539056
0.05,100,0.001,0.7854214287921514
0.05,100,0.01,0.7854214287921514
0.05,100,0.1,0.7854214287921514
0.05,150,0.001,0.7973592723092364
0.05,150,0.01,0.7973592723092364
0.05,150,0.1,0.7973592723092364
0.05,200,0.001,0.8039171616771357
0.05,200,0.01,0.8039171616771357
0.05,200,0.1,0.8039171616771357
0.1,50,0.001,0.7854214287921514
0.1,50,0.01,0.7854214287921514
0.1,50,0.1,0.7854214287921514
0.1,100,0.001,0.8039171616771357
0.1,100,0.01,0.8039171616771357
0.1,100,0.1,0.8039171616771357
0.1,150,0.001,0.8071095614052715
0.1,150,0.01,0.8071095614052715
0.1,150,0.1,0.8071095614052715
0.1,200,0.001,0.8089058897128594
0.1,200,0.01,0.8089058897128594
0.1,200,0.1,0.8089058897128594
0.2,50,0.001,0.8039171616771357
0.2,50,0.01,0.8039171616771357
0.2,50,0.1,0.8039171616771357
0.2,100,0.001,0.8089058897128594
0.2,100,0.01,0.8089058897128594
0.2,100,0.1,0.8089058897128594
0.2,150,0.001,0.8100750681881751
0.2,150,0.01,0.8100750681881751
0.2,150,0.1,0.8100750681881751
0.2,200,0.001,0.8109276884194078
0.2,200,0.01,0.8109276884194078
0.2,200,0.1,0.8109276884194078
