lr,epochs,lambda_reg,avg_f1
0.01,50,0.001,0.703135849710014
0.01,50,0.01,0.703135849710014
0.01,50,0.1,0.703135849710014
0.01,100,0.001,0.7044930286340982
0.01,100,0.01,0.7044930286340982
0.01,100,0.1,0.7044930286340982
0.01,150,0.001,0.7024046313979821
0.01,150,0.01,0.7024046313979821
0.01,150,0.1,0.7024046313979821
0.01,200,0.001,0.7016534824287917
0.01,200,0.01,0.7016534824287917
0.01,200,0.1,0.7016534824287917
0.05,50,0.001,0.7019661340211123
0.05,50,0.01,0.7019661340211123
0.05,50,0.1,0.7019661340211123
0.05,100,0.001,0.6954508079434222
0.05,100,0.01,0.6954508079434222
0.05,100,0.1,0.6954508079434222
0.05,150,0.001,0.6914654021564006
0.05,150,0.01,0.6914654021564006
0.05,150,0.1,0.6914654021564006
0.05,200,0.001,0.6856772396348256
0.05,200,0.01,0.6856772396348256
0.05,200,0.1,0.6856772396348256
0.1,50,0.001,0.6954508079434222
0.1,50,0.01,0.6954508079434222
0.1,50,0.1,0.6954508079434222
0.1,100,0.001,0.6856772396348256
0.1,100,0.01,0.6856772396348256
0.1,100,0.1,0.6856772396348256
0.1,150,0.001,0.6836648534203456
0.1,150,0.01,0.6836648534203456
0.1,150,0.1,0.6836648534203456
0.1,200,0.001,0.680351823029889
0.1,200,0.01,0.680351823029889
0.1,200,0.1,0.680351823029889
0.2,50,0.001,0.6856772396348256
0.2,50,0.01,0.6856772396348256
0.2,50,0.1,0.6856772396348256
0.2,100,0.001,0.680351823029889
0.2,100,0.01,0.680351823029889
0.2,100,0.1,0.680351823029889
0.2,150,0.001,0.6800213931597986
0.2,150,0.01,0.6800213931597986
0.2,150,0.1,0.6800213931597986
0.2,200,0.001,0.6812546614522954
0.2,200,0.01,0.6812546614522954
0.2,200,0.1,0.6812546614522954
