lr,epochs,lambda_reg,avg_f1
0.01,50,0.001,0.438111919289199
0.01,50,0.01,0.438111919289199
0.01,50,0.1,0.438111919289199
0.01,100,0.001,0.4634729744284515
0.01,100,0.01,0.4634729744284515
0.01,100,0.1,0.4634729744284515
0.01,150,0.001,0.48819427022360085
0.01,150,0.01,0.48819427022360085
0.01,150,0.1,0.48819427022360085
0.01,200,0.001,0.5084377161053513
0.01,200,0.01,0.5084377161053513
0.01,200,0.1,0.5084377161053513
0.05,50,0.001,0.5232759294165741
0.05,50,0.01,0.5232759294165741
0.05,50,0.1,0.5232759294165741
0.05,100,0.001,0.5721698277701999
0.05,100,0.01,0.5721698277701999
0.05,100,0.1,0.5721698277701999
0.05,150,0.001,0.5973004342771691
0.05,150,0.01,0.5973004342771691
0.05,150,0.1,0.5973004342771691
0.05,200,0.001,0.608226797729602
0.05,200,0.01,0.608226797729602
0.05,200,0.1,0.608226797729602
0.1,50,0.001,0.5718446022389007
0.1,50,0.01,0.5718446022389007
0.1,50,0.1,0.5718446022389007
0.1,100,0.001,0.608226797729602
0.1,100,0.01,0.608226797729602
0.1,100,0.1,0.608226797729602
0.1,150,0.001,0.6301004066721504
0.1,150,0.01,0.6301004066721504
0.1,150,0.1,0.6301004066721504
0.1,200,0.001,0.6361513791937272
0.1,200,0.01,0.6361513791937272
0.1,200,0.1,0.6361513791937272
0.2,50,0.001,0.6085799813423368
0.2,50,0.01,0.6085799813423368
0.2,50,0.1,0.6085799813423368
0.2,100,0.001,0.6361513791937272
0.2,100,0.01,0.6361513791937272
0.2,100,0.1,0.6361513791937272
0.2,150,0.001,0.6431894891075183
0.2,150,0.01,0.6431894891075183
0.2,150,0.1,0.6435984151333003
0.2,200,0.001,0.650933413636367
0.2,200,0.01,0.650933413636367
0.2,200,0.1,0.650933413636367
