lr,epochs,lambda_reg,avg_f1
0.01,50,0.001,0.45114435614268344
0.01,50,0.01,0.45114435614268344
0.01,50,0.1,0.45114435614268344
0.01,100,0.001,0.5072968946118616
0.01,100,0.01,0.5072968946118616
0.01,100,0.1,0.5072968946118616
0.01,150,0.001,0.5617092746052792
0.01,150,0.01,0.5617092746052792
0.01,150,0.1,0.5617092746052792
0.01,200,0.001,0.6064144064331548
0.01,200,0.01,0.6064144064331548
0.01,200,0.1,0.6064144064331548
0.05,50,0.001,0.636300602130607
0.05,50,0.01,0.636300602130607
0.05,50,0.1,0.636300602130607
0.05,100,0.001,0.7278572355002979
0.05,100,0.01,0.7278572355002979
0.05,100,0.1,0.7278572355002979
0.05,150,0.001,0.7699773846083193
0.05,150,0.01,0.7699773846083193
0.05,150,0.1,0.7699773846083193
0.05,200,0.001,0.7919626429244423
0.05,200,0.01,0.7919626429244423
0.05,200,0.1,0.7919626429244423
0.1,50,0.001,0.7275747163475988
0.1,50,0.01,0.7275747163475988
0.1,50,0.1,0.7275747163475988
0.1,100,0.001,0.7916822271346826
0.1,100,0.01,0.7916822271346826
0.1,100,0.1,0.7916822271346826
0.1,150,0.001,0.8246456013508878
0.1,150,0.01,0.8246456013508878
0.1,150,0.1,0.8246456013508878
0.1,200,0.001,0.8381238979624867
0.1,200,0.01,0.8381238979624867
0.1,200,0.1,0.8381238979624867
0.2,50,0.001,0.7916822271346826
0.2,50,0.01,0.7916822271346826
0.2,50,0.1,0.7916822271346826
0.2,100,0.001,0.8381238979624867
0.2,100,0.01,0.8381238979624867
0.2,100,0.1,0.8381238979624867
0.2,150,0.001,0.8516549827955331
0.2,150,0.01,0.8516549827955331
0.2,150,0.1,0.8516549827955331
0.2,200,0.001,0.8596041190558174
0.2,200,0.01,0.8596041190558174
0.2,200,0.1,0.8596041190558174
