lr,epochs,lambda_reg,avg_f1
0.01,50,0.001,0.36682468600900286
0.01,50,0.01,0.36682468600900286
0.01,50,0.1,0.36682468600900286
0.01,100,0.001,0.413964068871954
0.01,100,0.01,0.413964068871954
0.01,100,0.1,0.413964068871954
0.01,150,0.001,0.45764592044578595
0.01,150,0.01,0.45764592044578595
0.01,150,0.1,0.45764592044578595
0.01,200,0.001,0.4935342411381938
0.01,200,0.01,0.4935342411381938
0.01,200,0.1,0.4935342411381938
0.05,50,0.001,0.512497217086268
0.05,50,0.01,0.512497217086268
0.05,50,0.1,0.512497217086268
0.05,100,0.001,0.5935864321734028
0.05,100,0.01,0.5935864321734028
0.05,100,0.1,0.5935864321734028
0.05,150,0.001,0.6377564062263322
0.05,150,0.01,0.6377564062263322
0.05,150,0.1,0.6377564062263322
0.05,200,0.001,0.6549665965932252
0.05,200,0.01,0.6549665965932252
0.05,200,0.1,0.6549665965932252
0.1,50,0.001,0.5931982708579417
0.1,50,0.01,0.5931982708579417
0.1,50,0.1,0.5931982708579417
0.1,100,0.001,0.6549665965932252
0.1,100,0.01,0.6549665965932252
0.1,100,0.1,0.6549665965932252
0.1,150,0.001,0.6720114904791152
0.1,150,0.01,0.6720114904791152
0.1,150,0.1,0.6720114904791152
0.1,200,0.001,0.689177034908122
0.1,200,0.01,0.689177034908122
0.1,200,0.1,0.689177034908122
0.2,50,0.001,0.6549665965932252
0.2,50,0.01,0.6549665965932252
0.2,50,0.1,0.6549665965932252
0.2,100,0.001,0.689177034908122
0.2,100,0.01,0.689177034908122
0.2,100,0.1,0.689177034908122
0.2,150,0.001,0.7026568540659287
0.2,150,0.01,0.7026568540659287
0.2,150,0.1,0.7026568540659287
0.2,200,0.001,0.7113169716662682
0.2,200,0.01,0.7113169716662682
0.2,200,0.1,0.7113169716662682
