lr,epochs,lambda_reg,avg_f1
0.01,50,0.001,0.49990819220932553
0.01,50,0.01,0.49990819220932553
0.01,50,0.1,0.49990819220932553
0.01,100,0.001,0.4996264245340142
0.01,100,0.01,0.4996264245340142
0.01,100,0.1,0.4996264245340142
0.01,150,0.001,0.5032732307232917
0.01,150,0.01,0.5032732307232917
0.01,150,0.1,0.5032732307232917
0.01,200,0.001,0.5037481708046772
0.01,200,0.01,0.5037481708046772
0.01,200,0.1,0.5037481708046772
0.05,50,0.001,0.5035372523046446
0.05,50,0.01,0.5035372523046446
0.05,50,0.1,0.5035372523046446
0.05,100,0.001,0.5016300312763
0.05,100,0.01,0.5016300312763
0.05,100,0.1,0.5016300312763
0.05,150,0.001,0.5005130132644408
0.05,150,0.01,0.5005130132644408
0.05,150,0.1,0.5005130132644408
0.05,200,0.001,0.5001942501006076
0.05,200,0.01,0.5001942501006076
0.05,200,0.1,0.5001942501006076
0.1,50,0.001,0.5016300312763
0.1,50,0.01,0.5016300312763
0.1,50,0.1,0.5016300312763
0.1,100,0.001,0.5001942501006076
0.1,100,0.01,0.5001942501006076
0.1,100,0.1,0.5001942501006076
0.1,150,0.001,0.5055956166284686
0.1,150,0.01,0.5055956166284686
0.1,150,0.1,0.5055956166284686
0.1,200,0.001,0.5086388523072024
0.1,200,0.01,0.5086388523072024
0.1,200,0.1,0.5086388523072024
0.2,50,0.001,0.5001942501006076
0.2,50,0.01,0.5001942501006076
0.2,50,0.1,0.5001942501006076
0.2,100,0.001,0.5086388523072024
0.2,100,0.01,0.5086388523072024
0.2,100,0.1,0.5086388523072024
0.2,150,0.001,0.5156037142269071
0.2,150,0.01,0.5156037142269071
0.2,150,0.1,0.5156037142269071
0.2,200,0.001,0.5281213892318284
0.2,200,0.01,0.5281213892318284
0.2,200,0.1,0.5281213892318284
